t,x,y,z,phi,theta,psi,u,v,w,p,q,r,u1,u2,u3,u4,u5,u6
7.800072,-0.07329081,0.1511208,0.02867109,-0.011519173063162576,-0.017627825445142728,0.18081611050661253,-0.008395617,-0.002951005,0.04876767,-0.0001239682584016194,-0.00021501548813359104,0.00015201287204778002,80.0,80.0,80.0,80.0,80.0,80.0
7.900051,-0.07379827,0.1508085,0.02647692,-0.011519173063162576,-0.017627825445142728,0.18081611050661253,-0.009248096,-0.002629589,0.04819167,0.00014006761175432806,-0.0005431557134656709,-2.558010402258953e-05,80.0,80.0,80.0,80.0,80.0,80.0
7.99992,-0.07475477,0.1545115,0.02937821,-0.011519173063162576,-0.017627825445142728,0.18081611050661253,-0.01066828,0.0009767857,0.04933555,-0.0005135563256152487,-0.00022913031486031956,-0.000618162808866454,80.0,80.0,80.0,80.0,80.0,80.0
8.100069,-0.07597753,0.1577156,0.03226241,-0.011344640137963142,-0.017627825445142728,0.18081611050661253,-0.01123935,0.003695322,0.04990472,2.1872134573435057e-05,7.993939586691907e-05,0.0002909865288802506,80.0,80.0,80.0,80.0,80.0,80.0
8.199898,-0.07716606,0.1653678,0.03434578,-0.01117010721276371,-0.017627825445142728,0.18081611050661253,-0.01252061,0.009515251,0.05017744,3.904722161061046e-05,-0.0003722752387918865,0.0003505401300180255,80.0,80.0,80.0,80.0,80.0,80.0
8.300153,-0.07861197,0.1718935,0.03508184,-0.01117010721276371,-0.017453292519943295,0.18081611050661253,-0.01385634,0.01414778,0.05049131,0.00012197064180624929,-0.000264572366914718,0.0006183226810259366,80.0,80.0,80.0,80.0,80.0,80.0
8.39994,-0.08023847,0.1785743,0.03881843,-0.010995574287564275,-0.017453292519943295,0.18081611050661253,-0.01542534,0.01879451,0.05168365,-0.0001612464142824084,0.0003489777112716402,-8.798588731738854e-05,80.0,80.0,80.0,80.0,80.0,80.0
8.500055,-0.08206801,0.1844148,0.04058212,-0.010995574287564275,-0.017453292519943295,0.18081611050661253,-0.01700397,0.02181379,0.05213956,-0.00014218385837895626,0.000495286219005372,-0.00025114572351205087,80.0,80.0,80.0,80.0,80.0,80.0
8.59993,-0.08174595,0.1889957,0.04230548,-0.010995574287564275,-0.017453292519943295,0.18099064343181195,-0.0166035,0.02439591,0.05283853,-0.00013862527166047997,0.0001602509308369484,0.0011164557065742368,80.0,80.0,80.0,80.0,80.0,80.0
8.699935,-0.08197452,0.1931829,0.04333155,-0.010995574287564275,-0.017627825445142728,0.18081611050661253,-0.01619247,0.02618745,0.05260063,-0.0003903655764888077,-0.0005142034937018882,0.0004790888654151638,80.0,80.0,80.0,80.0,80.0,80.0
